cg_ipo_id,symbol,yahoo_sector,yahoo_industry,sector,instrument,is_financial,is_realestate,source
998,INDIAMART.NS,Communication Services,Internet Content & Information,Technology,equity,0,0,yahoo
984,NEOGEN.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
979,POLYCAB.NS,Industrials,Electrical Equipment & Parts,Industrials,equity,0,0,yahoo
978,METROPOLIS.NS,Healthcare,Diagnostics & Research,Healthcare,equity,0,0,yahoo
980,RVNL.NS,Industrials,Engineering & Construction,Industrials,equity,0,0,yahoo
969,MSTCLTD.BO,Industrials,Conglomerates,Industrials,equity,0,0,yahoo
917,CHALET.NS,Consumer Cyclical,Lodging,Consumer Discretionary,equity,0,0,yahoo
936,XELPMOC.NS,Technology,Information Technology Services,Technology,equity,0,0,yahoo
1078,AWHCL.BO,Industrials,Waste Management,Industrials,equity,0,0,yahoo
1077,BECTORFOOD.NS,Consumer Defensive,Packaged Foods,Consumer Discretionary,equity,0,0,yahoo
1075,,,,Other,equity,0,0,unknown
1072,GLAND.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare,equity,0,0,yahoo
1040,EQUITASBNK.BO,Financial Services,Banks - Regional,Financials,equity,1,0,yahoo
1062,LIKHITHA.NS,Energy,Oil & Gas Equipment & Services,Energy,equity,0,0,yahoo
1052,UTIAMC.NS,Financial Services,Asset Management,Financials,equity,1,0,yahoo
1064,MAZDOCK.NS,Industrials,Aerospace & Defense,Industrials,equity,0,0,yahoo
1057,,,,Financials,equity,1,0,name
1055,CAMS.NS,Technology,Information Technology Services,Technology,equity,0,0,yahoo
1060,CHEMCON.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
1058,ROUTE.NS,Communication Services,Telecom Services,Technology,equity,0,0,yahoo
1056,HAPPSTMNDS.NS,Technology,Information Technology Services,Technology,equity,0,0,yahoo
1049,ROSSARI.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
1025,,,,Other,equity,0,0,unknown
1203,CMSINFO.NS,Industrials,Specialty Business Services,Industrials,equity,0,0,yahoo
1197,SUPRIYA.NS,Healthcare,Biotechnology,Healthcare,equity,0,0,yahoo
1194,HPAL.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
1190,DATAPATTNS.NS,Industrials,Aerospace & Defense,Industrials,equity,0,0,yahoo
1195,MEDPLUS.NS,Healthcare,Pharmaceutical Retailers,Healthcare,equity,0,0,yahoo
1193,METROBRAND.NS,Consumer Cyclical,Apparel Retail,Consumer Discretionary,equity,0,0,yahoo
1187,MAPMYINDIA.NS,Technology,Software - Infrastructure,Technology,equity,0,0,yahoo
1191,SHRIRAMPPS.NS,Real Estate,Real Estate - Development,Real Estate,equity,0,1,yahoo
1189,RATEGAIN.NS,Technology,Software - Application,Technology,equity,0,0,yahoo
1186,ANANDRATHI.BO,Financial Services,Asset Management,Financials,equity,1,0,yahoo
1185,TEGA.NS,Industrials,Specialty Industrial Machinery,Industrials,equity,0,0,yahoo
1184,STARHEALTH.NS,Financial Services,Insurance - Life,Financials,equity,1,0,yahoo
1181,GOCOLORS.NS,Consumer Cyclical,Apparel Retail,Consumer Discretionary,equity,0,0,yahoo
1179,TARSONS.NS,Healthcare,Medical Instruments & Supplies,Healthcare,equity,0,0,yahoo
1178,LATENTVIEW.NS,Industrials,Consulting Services,Industrials,equity,0,0,yahoo
1177,SAPPHIRE.NS,Consumer Cyclical,Restaurants,Consumer Discretionary,equity,0,0,yahoo
1128,PAYTM.NS,Technology,Software - Infrastructure,Technology,equity,0,0,yahoo
1175,SIGACHI.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare,equity,0,0,yahoo
1172,POLICYBZR.NS,Financial Services,Insurance Brokers,Financials,equity,1,0,yahoo
1168,SJS.NS,Consumer Cyclical,Auto Parts,Consumer Discretionary,equity,0,0,yahoo
